name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Julius Anglickas,Orthodox,,,,,,
Karl Reed,Orthodox,,,78.0,,,
Collin Anglin,Orthodox,,,71.0,,,
Sean Woodson,Orthodox,,,78.0,,,
Melsik Baghdasaryan,Southpaw,,,70.0,,,
Muhammad Naimov,Orthodox,,,70.0,,,
Chad Anheliger,Orthodox,,,64.0,,,
Cody Gibson,Orthodox,,,71.0,,,
Charalampos Grigoriou,Orthodox,,,67.0,,,
Jose Johnson,Orthodox,,,71.0,,,
Alatengheili,Orthodox,,,66.0,,,
Jesse Strader,Orthodox,,,70.0,,,
Muin Gafurov,Orthodox,,,68.0,,,
Yoji Anjo,Orthodox,,,,,,
Ryan Gracie,Orthodox,,,,,,
Matt Lindland,Southpaw,,,74.0,,,
Murilo Bustamante,Orthodox,,,,,,
David Abbott,Switch,,,,,,
Magomed Ankalaev,Orthodox,,,75.0,,,
Aleksandar Rakic,Orthodox,,,78.0,,,
Johnny Walker,Orthodox,,,82.0,,,
Anthony Smith,Orthodox,,,76.0,,,
Thiago Santos,Orthodox,,,76.0,,,
Volkan Oezdemir,Orthodox,,,75.0,,,
Nikita Krylov,Orthodox,,,77.0,,,
Ion Cutelaba,Southpaw,,,75.0,,,
Dalcha Lungiambula,Orthodox,,,76.0,,,
Klidson Abreu,Orthodox,,,74.0,,,
Marcin Prachnio,Orthodox,,,73.0,,,
Paul Craig,Orthodox,,,76.0,,,
Gadzhimurad Antigulov,Orthodox,,,70.0,,,
Maxim Grishin,Orthodox,,,78.0,,,
Michal Oleksiejczuk,Southpaw,,,74.0,,,
Joachim Christensen,Orthodox,,,76.0,,,
Marcos Rogerio de Lima,Orthodox,,,75.0,,,
Adam Antolin,Orthodox,,,63.0,,,
Casey Kenney,Southpaw,,,68.0,,,
Ronald Carillo,Orthodox,,,,,,
Javi Alanis,Orthodox,,,,,,
Hugo Govea,Orthodox,,,,,,
Angelo Antonio,Orthodox,,,,,,
Mauricio Rua,Orthodox,,,76.0,,,
Vanilto Antunes,Orthodox,,,72.0,,,
Islam Dulatov,Orthodox,,,75.0,,,
Azunna Anyanwu,Orthodox,,,,,,
Justin Ledet,Orthodox,,,80.0,,,
Greg Rebello,Southpaw,,,73.0,,,
Shinsho Anzai,Orthodox,,,70.0,,,
Jake Matthews,Orthodox,,,73.0,,,
Luke Jumeau,Orthodox,,,72.0,,,
Roger Zapata,Southpaw,,,,,,
Alberto Mina,Orthodox,,,77.0,,,
Jin Aoi,Orthodox,,,68.0,,,
ChangMin Yoon,Orthodox,,,70.0,,,
Shinya Aoki,Southpaw,,,,,,
Antonio McKee,Southpaw,,,,,,
Rob McCullough,Orthodox,,,69.0,,,
Rich Clementi,Southpaw,,,72.0,,,
Lyle Beerbohm,Southpaw,,,,,,
Yokthai Sithoar,Orthodox,,,,,,
Marcus Aurelio,Orthodox,,,74.0,,,
Mizuto Hirota,Orthodox,,,67.0,,,
Vitor Ribeiro,Orthodox,,,,,,
Hayato Sakurai,Orthodox,,,,,,
David Gardner,Orthodox,,,,,,
Eddie Alvarez,Orthodox,,,69.0,,,
Todd Moore,Southpaw,,,71.0,,,
Caol Uno,Southpaw,,,70.0,,,
Katsuhiko Nagata,Southpaw,,,,,,
Gesias Cavalcante,Orthodox,,,71.0,,,
Bu-Kyung Jung,Orthodox,,,,,,
Brian Lo-A-Njoe,Orthodox,,,,,,
Akira Kikuchi,Orthodox,,,,,,
Joachim Hansen,Southpaw,,,,,,
Clay French,Southpaw,,,,,,
George Sotiropoulos,Orthodox,,,71.0,,,
