fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url
1,DWCS 3.8,2019-08-13,,Julius Anglickas,Karl Reed,Julius Anglickas,Unknown,SUB Rear Naked Choke,3.0,3:25,3,0,
2,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,,Collin Anglin,Sean Woodson,Sean Woodson,Unknown,KO/TKO Punches,1.0,4:30,3,0,
3,UFC Fight Night: Hall vs. Strickland,2021-07-31,,Collin Anglin,Melsik Baghdasaryan,Melsik Baghdasaryan,Unknown,KO/TKO Kick,2.0,1:50,3,0,
4,DWCS 4.7,2020-09-15,,Collin Anglin,Muhammad Naimov,Collin Anglin,Unknown,U-DEC,3.0,5:00,3,0,
5,UFC Fight Night: Moreno vs. Albazi,2024-11-02,,Chad Anheliger,Cody Gibson,Cody Gibson,Unknown,U-DEC,3.0,5:00,3,0,
6,UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,,Chad Anheliger,Charalampos Grigoriou,Chad Anheliger,Unknown,U-DEC,3.0,5:00,3,0,
7,UFC Fight Night: Allen vs. Craig,2023-11-18,,Chad Anheliger,Jose Johnson,Jose Johnson,Unknown,SUB Rear Naked Choke,3.0,4:49,3,0,
8,UFC 279: Diaz vs. Ferguson,2022-09-10,,Chad Anheliger,Alatengheili,Alatengheili,Unknown,U-DEC,3.0,5:00,3,0,
9,UFC Fight Night: Walker vs. Hill,2022-02-19,,Chad Anheliger,Jesse Strader,Chad Anheliger,Unknown,KO/TKO Punch,3.0,3:33,3,0,
10,DWCS 5.2,2021-09-07,,Chad Anheliger,Muin Gafurov,Chad Anheliger,Unknown,S-DEC,3.0,5:00,3,0,
11,PRIDE Shockwave 2004,2004-12-31,,Yoji Anjo,Ryan Gracie,Ryan Gracie,Unknown,SUB Armbar,1.0,8:33,3,0,
12,UFC 29: Defense of the Belts,2000-12-16,,Yoji Anjo,Matt Lindland,Matt Lindland,Unknown,KO/TKO Punches,1.0,2:58,3,0,
13,UFC 25: Ultimate Japan 3,2000-04-14,,Yoji Anjo,Murilo Bustamante,Murilo Bustamante,Unknown,SUB Arm Triangle,2.0,0:31,3,0,
14,UFC - Ultimate Japan,1997-12-21,,Yoji Anjo,David Abbott,David Abbott,Unknown,U-DEC,2.0,3:00,3,0,
15,UFC 308: Topuria vs. Holloway,2024-10-26,,Magomed Ankalaev,Aleksandar Rakic,Magomed Ankalaev,Unknown,U-DEC,3.0,5:00,3,0,
16,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,,Magomed Ankalaev,Johnny Walker,Magomed Ankalaev,Unknown,KO/TKO Punch,2.0,2:42,3,0,
17,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,,Magomed Ankalaev,Johnny Walker,,Unknown,CNC,1.0,3:13,3,0,
18,UFC 277: Pena vs. Nunes 2,2022-07-30,,Magomed Ankalaev,Anthony Smith,Magomed Ankalaev,Unknown,KO/TKO Punches,2.0,3:09,3,0,
19,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,,Magomed Ankalaev,Thiago Santos,Magomed Ankalaev,Unknown,U-DEC,5.0,5:00,3,0,
20,UFC 267: Blachowicz vs. Teixeira,2021-10-30,,Magomed Ankalaev,Volkan Oezdemir,Magomed Ankalaev,Unknown,U-DEC,3.0,5:00,3,0,
21,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,,Magomed Ankalaev,Nikita Krylov,Magomed Ankalaev,Unknown,U-DEC,3.0,5:00,3,0,
22,UFC 254: Khabib vs. Gaethje,2020-10-24,,Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,Unknown,KO/TKO Punch,1.0,4:19,3,0,
23,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,,Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,Unknown,KO/TKO Punches,1.0,0:38,3,0,
24,UFC Fight Night: Zabit vs. Kattar,2019-11-09,,Magomed Ankalaev,Dalcha Lungiambula,Magomed Ankalaev,Unknown,KO/TKO Kick,3.0,0:29,3,0,
25,UFC Fight Night: Blachowicz vs. Santos,2019-02-23,,Magomed Ankalaev,Klidson Abreu,Magomed Ankalaev,Unknown,U-DEC,3.0,5:00,3,0,
26,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,,Magomed Ankalaev,Marcin Prachnio,Magomed Ankalaev,Unknown,KO/TKO Kick,1.0,3:09,3,0,
27,UFC Fight Night: Werdum vs. Volkov,2018-03-17,,Magomed Ankalaev,Paul Craig,Paul Craig,Unknown,SUB Triangle Choke,3.0,4:59,3,0,
28,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17,,Gadzhimurad Antigulov,Maxim Grishin,Maxim Grishin,Unknown,KO/TKO Punches,2.0,4:58,3,0,
29,UFC Fight Night: Whittaker vs. Till,2020-07-25,,Gadzhimurad Antigulov,Paul Craig,Paul Craig,Unknown,SUB Triangle Choke,1.0,2:06,3,0,
30,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,,Gadzhimurad Antigulov,Michal Oleksiejczuk,Michal Oleksiejczuk,Unknown,KO/TKO Punch,1.0,0:44,3,0,
