fight_id,source_url,fighter,opponent,knockdowns,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,takedowns_landed,takedowns_attempted,submission_attempts,reversals,control_seconds,head_landed,body_landed,leg_landed,raw_kd,raw_str,raw_td,raw_sub
1,,Julius Anglickas,Karl Reed,0.0,62.0,,,,4.0,,1.0,,,,,,0 0,62 25,4 2,1 0
2,,Collin Anglin,Sean Woodson,0.0,8.0,,,,0.0,,0.0,,,,,,0 1,8 50,0 0,0 0
3,,Collin Anglin,Melsik Baghdasaryan,0.0,25.0,,,,1.0,,0.0,,,,,,0 1,25 44,1 0,0 0
4,,Collin Anglin,Muhammad Naimov,0.0,88.0,,,,3.0,,0.0,,,,,,0 0,88 52,3 0,0 0
5,,Chad Anheliger,Cody Gibson,0.0,11.0,,,,0.0,,0.0,,,,,,0 0,11 16,0 5,0 2
6,,Chad Anheliger,Charalampos Grigoriou,0.0,85.0,,,,0.0,,0.0,,,,,,0 0,85 21,0 4,0 0
7,,Chad Anheliger,Jose Johnson,0.0,26.0,,,,4.0,,0.0,,,,,,0 0,26 63,4 1,0 1
8,,Chad Anheliger,Alatengheili,0.0,39.0,,,,0.0,,0.0,,,,,,0 0,39 49,0 2,0 0
9,,Chad Anheliger,Jesse Strader,2.0,67.0,,,,0.0,,2.0,,,,,,2 0,67 64,0 4,2 0
10,,Chad Anheliger,Muin Gafurov,1.0,47.0,,,,0.0,,1.0,,,,,,1 0,47 31,0 5,1 0
11,,Yoji Anjo,Ryan Gracie,0.0,0.0,,,,0.0,,0.0,,,,,,0 0,0 19,0 2,0 1
12,,Yoji Anjo,Matt Lindland,0.0,0.0,,,,0.0,,0.0,,,,,,0 0,0 17,0 0,0 0
13,,Yoji Anjo,Murilo Bustamante,0.0,0.0,,,,0.0,,0.0,,,,,,0 0,0 11,0 4,0 1
14,,Yoji Anjo,David Abbott,0.0,9.0,,,,0.0,,1.0,,,,,,0 0,9 13,0 3,1 0
15,,Magomed Ankalaev,Aleksandar Rakic,0.0,55.0,,,,0.0,,0.0,,,,,,0 0,55 53,0 0,0 0
16,,Magomed Ankalaev,Johnny Walker,1.0,39.0,,,,0.0,,0.0,,,,,,1 0,39 24,0 0,0 0
17,,Magomed Ankalaev,Johnny Walker,0.0,13.0,,,,1.0,,0.0,,,,,,0 0,13 14,1 0,0 0
18,,Magomed Ankalaev,Anthony Smith,0.0,46.0,,,,0.0,,0.0,,,,,,0 0,46 18,0 0,0 0
19,,Magomed Ankalaev,Thiago Santos,0.0,78.0,,,,1.0,,0.0,,,,,,0 1,78 60,1 0,0 0
20,,Magomed Ankalaev,Volkan Oezdemir,1.0,66.0,,,,1.0,,0.0,,,,,,1 0,66 48,1 0,0 0
21,,Magomed Ankalaev,Nikita Krylov,0.0,43.0,,,,3.0,,0.0,,,,,,0 0,43 47,3 1,0 0
22,,Magomed Ankalaev,Ion Cutelaba,2.0,21.0,,,,0.0,,0.0,,,,,,2 0,21 11,0 0,0 0
23,,Magomed Ankalaev,Ion Cutelaba,0.0,8.0,,,,0.0,,0.0,,,,,,0 0,8 5,0 0,0 0
24,,Magomed Ankalaev,Dalcha Lungiambula,1.0,44.0,,,,1.0,,0.0,,,,,,1 0,44 6,1 0,0 0
25,,Magomed Ankalaev,Klidson Abreu,1.0,30.0,,,,1.0,,0.0,,,,,,1 0,30 23,1 0,0 0
26,,Magomed Ankalaev,Marcin Prachnio,1.0,12.0,,,,0.0,,0.0,,,,,,1 0,12 3,0 0,0 0
27,,Magomed Ankalaev,Paul Craig,0.0,59.0,,,,0.0,,0.0,,,,,,0 0,59 18,0 2,0 1
28,,Gadzhimurad Antigulov,Maxim Grishin,0.0,12.0,,,,1.0,,0.0,,,,,,0 0,12 34,1 1,0 0
29,,Gadzhimurad Antigulov,Paul Craig,0.0,11.0,,,,1.0,,0.0,,,,,,0 0,11 2,1 0,0 1
30,,Gadzhimurad Antigulov,Michal Oleksiejczuk,0.0,6.0,,,,0.0,,0.0,,,,,,0 3,6 8,0 0,0 0
31,,Gadzhimurad Antigulov,Ion Cutelaba,0.0,12.0,,,,3.0,,0.0,,,,,,0 0,12 40,3 0,0 0
32,,Gadzhimurad Antigulov,Joachim Christensen,0.0,2.0,,,,1.0,,1.0,,,,,,0 0,2 1,1 0,1 0
33,,Gadzhimurad Antigulov,Marcos Rogerio de Lima,0.0,0.0,,,,1.0,,1.0,,,,,,0 0,0 2,1 0,1 0
34,,Adam Antolin,Casey Kenney,0.0,86.0,,,,0.0,,0.0,,,,,,0 0,86 75,0 0,0 1
35,,Adam Antolin,Ronald Carillo,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
36,,Adam Antolin,Javi Alanis,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
37,,Adam Antolin,Hugo Govea,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
