name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url,nickname,weight_class
Julius Anglickas,Orthodox,75.0,205.0,,,,,No Nickname,
Karl Reed,Orthodox,75.0,205.0,78.0,,,,No Worries,
Collin Anglin,Orthodox,69.0,145.0,71.0,,,,No Nickname,Featherweight
Sean Woodson,Orthodox,74.0,145.0,78.0,,,,The Sniper,Featherweight
Melsik Baghdasaryan,Southpaw,69.0,145.0,70.0,,,,The Gun,Featherweight
Muhammad Naimov,Orthodox,69.0,145.0,70.0,,,,Hillman,Featherweight
Chad Anheliger,Orthodox,66.0,135.0,64.0,,,,The Monster,Bantamweight
Cody Gibson,Orthodox,61.0,135.0,71.0,,,,The Renegade,Bantamweight
Charalampos Grigoriou,Orthodox,67.0,135.0,67.0,,,,Ferocious,Bantamweight
Jose Johnson,Orthodox,72.0,125.0,71.0,,,,Zhakwarius,Bantamweight
Alatengheili,Orthodox,65.0,135.0,66.0,,,,The Mongolian Knight,Bantamweight
Jesse Strader,Orthodox,67.0,135.0,70.0,,,,Sui Generis,Bantamweight
Muin Gafurov,Orthodox,67.0,135.0,68.0,,,,Tajik,Bantamweight
Yoji Anjo,Orthodox,71.0,205.0,,,,,Mr. 200%,Middleweight
Ryan Gracie,Orthodox,69.0,200.0,,,,,No Nickname,
Matt Lindland,Southpaw,72.0,185.0,74.0,,,,The Law,Middleweight
Murilo Bustamante,Orthodox,74.0,183.0,,,,,No Nickname,Middleweight
David Abbott,Switch,72.0,265.0,,,,,Tank,Heavyweight
Magomed Ankalaev,Orthodox,75.0,205.0,75.0,,,,No Nickname,Light Heavyweight
Aleksandar Rakic,Orthodox,76.0,205.0,78.0,,,,Rocket,Light Heavyweight
Johnny Walker,Orthodox,78.0,205.0,82.0,,,,No Nickname,Light Heavyweight
Anthony Smith,Orthodox,76.0,205.0,76.0,,,,Lionheart,Light Heavyweight
Thiago Santos,Orthodox,74.0,205.0,76.0,,,,Marreta,Light Heavyweight
Volkan Oezdemir,Orthodox,74.0,205.0,75.0,,,,No Time,Light Heavyweight
Nikita Krylov,Orthodox,75.0,205.0,77.0,,,,The Miner,Catch Weight
Ion Cutelaba,Southpaw,73.0,205.0,75.0,,,,The Hulk,Light Heavyweight
Dalcha Lungiambula,Orthodox,68.0,185.0,76.0,,,,Champion,Middleweight
Klidson Abreu,Orthodox,72.0,205.0,74.0,,,,White Bear,Light Heavyweight
