fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url,title_fight
1,DWCS 3.8,2019-08-13,,Julius Anglickas,Karl Reed,Julius Anglickas,Unknown,SUB Rear Naked Choke,3.0,3:25,3,0,,0
2,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,"Las Vegas, Nevada, USA",Collin Anglin,Sean Woodson,Sean Woodson,Featherweight,KO/TKO Punches,1.0,4:30,3,0,,0
3,UFC Fight Night: Hall vs. Strickland,2021-07-31,"Las Vegas, Nevada, USA",Collin Anglin,Melsik Baghdasaryan,Melsik Baghdasaryan,Featherweight,KO/TKO Kick,2.0,1:50,3,0,,0
4,DWCS 4.7,2020-09-15,,Collin Anglin,Muhammad Naimov,Collin Anglin,Unknown,U-DEC,3.0,5:00,3,0,,0
5,UFC Fight Night: Moreno vs. Albazi,2024-11-02,"Edmonton, Alberta, Canada",Chad Anheliger,Cody Gibson,Cody Gibson,Bantamweight,U-DEC,3.0,5:00,3,0,,0
6,UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,"Las Vegas, Nevada, USA",Chad Anheliger,Charalampos Grigoriou,Chad Anheliger,Bantamweight,U-DEC,3.0,5:00,3,0,,0
7,UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Chad Anheliger,Jose Johnson,Jose Johnson,Bantamweight,SUB Rear Naked Choke,3.0,4:49,3,0,,0
8,UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Chad Anheliger,Alatengheili,Alatengheili,Bantamweight,U-DEC,3.0,5:00,3,0,,0
9,UFC Fight Night: Walker vs. Hill,2022-02-19,"Las Vegas, Nevada, USA",Chad Anheliger,Jesse Strader,Chad Anheliger,Bantamweight,KO/TKO Punch,3.0,3:33,3,0,,0
10,DWCS 5.2,2021-09-07,,Chad Anheliger,Muin Gafurov,Chad Anheliger,Unknown,S-DEC,3.0,5:00,3,0,,0
