fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file
2023-10-07,UFC Fight Night: Dawson vs. Green,Grant Dawson,King Green,espn_source,-425,325,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-07,UFC Fight Night: Dawson vs. Green,Alex Morono,Joaquin Buckley,espn_source,145,-175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-07,UFC Fight Night: Dawson vs. Green,Drew Dober,Ricky Glenn,espn_source,-475,350,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-07,UFC Fight Night: Dawson vs. Green,Alexander Hernandez,Bill Algeo,espn_source,115,-135,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-07,UFC Fight Night: Dawson vs. Green,Karolina Kowalkiewicz,Diana Belbita,espn_source,-170,140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-07,UFC Fight Night: Dawson vs. Green,Nate Maness,Mateus Mendonca,espn_source,205,-250,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-07,UFC Fight Night: Dawson vs. Green,Vanessa Demopoulos,Kanako Murata,espn_source,280,-370,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Sodiq Yusuff,Edson Barboza,espn_source,-180,150,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Jennifer Maia,Viviane Araujo,espn_source,-155,130,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Jonathan Martinez,Adrian Yanez,espn_source,-115,-105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Andre Petroski,Michel Pereira,espn_source,160,-190,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Christian Rodriguez,Cameron Saaiman,espn_source,-130,110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Darren Elkins,TJ Brown,espn_source,165,-195,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Terrance McKinney,Brendon Marotte,espn_source,-650,450,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Irina Alekseeva,Melissa Mullins,espn_source,105,-125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Ashley Yoder,Emily Ducote,espn_source,315,-415,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev,Alexander Volkanovski,espn_source,-260,210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman,Khamzat Chimaev,espn_source,300,-400,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Magomed Ankalaev,Johnny Walker,espn_source,-400,300,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Ikram Aliskerov,Warlley Alves,espn_source,-800,500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
