event,fight_date,fighter_a,fighter_b,judge,round_1_a,round_1_b,round_2_a,round_2_b,round_3_a,round_3_b,round_4_a,round_4_b,round_5_a,round_5_b,total_a,total_b,decision_type,winner,card_type,raw_scorecards,source_file
UFC: Ultimate Ultimate 95,1995-12-17,Dan Severn,Oleg Taktarov,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Severn,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC: Ultimate Ultimate 95,1995-12-17,Marco Ruas,Oleg Taktarov,raw_scorecards,,,,,,,,,,,,,Main Card,Oleg Taktarov,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC: Ultimate Ultimate 95,1995-12-17,David Abbott,Dan Severn,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Severn,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 8: David vs. Goliath,1996-02-17,Joe Moreira,Paul Varelans,raw_scorecards,,,,,,,,,,,,,Main Card,Paul Varelans,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 9: Motor City Madness,1996-05-18,Dan Severn,Ken Shamrock,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Severn,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 10: The Tournament,1996-07-13,Sam Adkins,Felix Lee Mitchell,raw_scorecards,,,,,,,,,,,,,Main Card,Sam Adkins,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 13: The Ultimate Force,1997-05-31,Christophe Leninger,Guy Mezger,raw_scorecards,,,,,,,,,,,,,Main Card,Guy Mezger,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 14: Showdown,1997-07-28,Mark Coleman,Maurice Smith,raw_scorecards,,,,,,,,,,,,,Main Card,Maurice Smith,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 14: Showdown,1997-07-28,Joe Moreira,Yuri Vaulin,raw_scorecards,,,,,,,,,,,,,Main Card,Joe Moreira,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 15: Collision Course,1997-10-18,Carlos Barreto,Dave Beneteau,raw_scorecards,,,,,,,,,,,,,Main Card,Dave Beneteau,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
