fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file,fighter_a_implied_probability,fighter_b_implied_probability,market_probability_sum,fighter_a_no_vig_probability,fighter_b_no_vig_probability
2023-10-07,UFC Fight Night: Dawson vs. Green,Grant Dawson,King Green,espn_source,-425,325,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8095238095238095,0.23529411764705882,1.0448179271708684,0.774798927613941,0.22520107238605896
2023-10-07,UFC Fight Night: Dawson vs. Green,Alex Morono,Joaquin Buckley,espn_source,145,-175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.40816326530612246,0.6363636363636364,1.0445269016697587,0.39076376554174075,0.6092362344582594
2023-10-07,UFC Fight Night: Dawson vs. Green,Drew Dober,Ricky Glenn,espn_source,-475,350,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8260869565217391,0.2222222222222222,1.0483091787439613,0.7880184331797235,0.2119815668202765
2023-10-07,UFC Fight Night: Dawson vs. Green,Alexander Hernandez,Bill Algeo,espn_source,115,-135,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.46511627906976744,0.574468085106383,1.0395843641761504,0.447405997144217,0.552594002855783
2023-10-07,UFC Fight Night: Dawson vs. Green,Karolina Kowalkiewicz,Diana Belbita,espn_source,-170,140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6296296296296297,0.4166666666666667,1.0462962962962963,0.6017699115044248,0.39823008849557523
2023-10-07,UFC Fight Night: Dawson vs. Green,Nate Maness,Mateus Mendonca,espn_source,205,-250,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.32786885245901637,0.7142857142857143,1.0421545667447307,0.31460674157303364,0.6853932584269663
2023-10-07,UFC Fight Night: Dawson vs. Green,Vanessa Demopoulos,Kanako Murata,espn_source,280,-370,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.2631578947368421,0.7872340425531915,1.0503919372900337,0.2505330490405117,0.7494669509594882
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Sodiq Yusuff,Edson Barboza,espn_source,-180,150,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6428571428571429,0.4,1.042857142857143,0.6164383561643836,0.3835616438356164
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Jennifer Maia,Viviane Araujo,espn_source,-155,130,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6078431372549019,0.43478260869565216,1.0426257459505541,0.5829926410466066,0.4170073589533933
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Jonathan Martinez,Adrian Yanez,espn_source,-115,-105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5348837209302325,0.5121951219512195,1.0470788428814521,0.5108342361863488,0.4891657638136511
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Andre Petroski,Michel Pereira,espn_source,160,-190,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.38461538461538464,0.6551724137931034,1.039787798408488,0.3698979591836735,0.6301020408163266
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Christian Rodriguez,Cameron Saaiman,espn_source,-130,110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5652173913043478,0.47619047619047616,1.041407867494824,0.5427435387673957,0.4572564612326044
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Darren Elkins,TJ Brown,espn_source,165,-195,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.37735849056603776,0.6610169491525424,1.03837543971858,0.36341238065906994,0.6365876193409301
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Terrance McKinney,Brendon Marotte,espn_source,-650,450,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8666666666666667,0.18181818181818182,1.0484848484848486,0.8265895953757225,0.17341040462427745
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Irina Alekseeva,Melissa Mullins,espn_source,105,-125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.4878048780487805,0.5555555555555556,1.043360433604336,0.4675324675324675,0.5324675324675325
2023-10-14,UFC Fight Night: Yusuff vs. Barboza,Ashley Yoder,Emily Ducote,espn_source,315,-415,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.24096385542168675,0.8058252427184466,1.0467890981401333,0.2301933176891273,0.7698066823108727
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev,Alexander Volkanovski,espn_source,-260,210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.7222222222222222,0.3225806451612903,1.0448028673835126,0.6912521440823327,0.30874785591766724
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman,Khamzat Chimaev,espn_source,300,-400,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.25,0.8,1.05,0.23809523809523808,0.7619047619047619
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Magomed Ankalaev,Johnny Walker,espn_source,-400,300,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8,0.25,1.05,0.7619047619047619,0.23809523809523808
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Ikram Aliskerov,Warlley Alves,espn_source,-800,500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8888888888888888,0.16666666666666666,1.0555555555555556,0.8421052631578947,0.15789473684210525
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Said Nurmagomedov,Muin Gafurov,espn_source,-350,270,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.7777777777777778,0.2702702702702703,1.048048048048048,0.7421203438395415,0.25787965616045844
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott,Muhammad Mokaev,espn_source,360,-500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.21739130434782608,0.8333333333333334,1.0507246376811594,0.20689655172413793,0.7931034482758621
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya,Trevor Peek,espn_source,170,-200,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.37037037037037035,0.6666666666666666,1.037037037037037,0.35714285714285715,0.6428571428571429
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Javid Basharat,Victor Henry,espn_source,-575,400,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8518518518518519,0.2,1.0518518518518518,0.8098591549295775,0.19014084507042256
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar,Sedriques Dumas,espn_source,200,-245,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.3333333333333333,0.7101449275362319,1.0434782608695652,0.3194444444444444,0.6805555555555556
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden,Anshul Jubli,espn_source,235,-290,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.29850746268656714,0.7435897435897436,1.0420972062763108,0.28644876973925815,0.7135512302607419
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood,Muhammad Naimov,espn_source,-330,260,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.7674418604651163,0.2777777777777778,1.045219638242894,0.7342398022249692,0.2657601977750309
2023-11-04,UFC Fight Night: Almeida vs. Lewis,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,espn_source,-400,300,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8,0.25,1.05,0.7619047619047619,0.23809523809523808
2023-11-04,UFC Fight Night: Almeida vs. Lewis,Eduarda Moura,Montserrat Conejo Ruiz,espn_source,-800,500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.8888888888888888,0.16666666666666666,1.0555555555555556,0.8421052631578947,0.15789473684210525
2023-11-11,UFC 295: Procházka vs. Pereira,Jiří Procházka,Alex Pereira,espn_source,-105,-115,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5121951219512195,0.5348837209302325,1.0470788428814521,0.4891657638136511,0.5108342361863488
2023-11-11,UFC 295: Procházka vs. Pereira,Sergei Pavlovich,Tom Aspinall,espn_source,-110,-110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.5238095238095238,0.5238095238095238,1.0476190476190477,0.5,0.5
2023-11-11,UFC 295: Procházka vs. Pereira,Jessica Andrade,Mackenzie Dern,espn_source,200,-245,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.3333333333333333,0.7101449275362319,1.0434782608695652,0.3194444444444444,0.6805555555555556
2023-11-11,UFC 295: Procházka vs. Pereira,Matt Frevola,Benoît Saint Denis,espn_source,180,-225,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.35714285714285715,0.6923076923076923,1.0494505494505495,0.3403141361256544,0.6596858638743455
2023-11-11,UFC 295: Procházka vs. Pereira,Steve Erceg,Alessandro Costa,espn_source,-210,175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv,0.6774193548387096,0.36363636363636365,1.0410557184750733,0.6507042253521127,0.34929577464788736
